"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "Python", "TypeScript JSX", "PostCSS", "MS SQL", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\nexon\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\nexon\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\next\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\next\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\nordmende\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\nordmende\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\onvo\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\onvo\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 7, 55
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\panasonic\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\panasonic\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\peaq\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\peaq\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\philips\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\philips\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 14, 9, 254
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\preo\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\preo\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\profilo\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\profilo\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 14, 9, 253
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\redline\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\redline\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 14, 9, 254
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\regal\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\regal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 14, 9, 254
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\55nu7100\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 4, 19, 255
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 14, 6, 159
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\adalar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\arnavutkoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\atasehir\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\avcilar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\bagcilar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
