"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "XML", "HTML", "TypeScript JSX", "Python", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\beykoz\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\beylikduzu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\beyoglu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\buyukcekmece\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\catalca\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\cekmekoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\esenler\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\esenyurt\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\eyupsultan\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\fatih\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\gaziosmanpasa\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\gungorent\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\kadikoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\kagithane\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\kartal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\kucukcekmece\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\maltepe\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 6, 96
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\pendik\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\sancaktepe\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\sariyer\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\sile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\silivri\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\sisli\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\sultanbeyli\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
